region;zip;name;address;telephone;email;opening_hours;age;summary
Bergheim; 69115; Evangelischer Kindergarten Frieda Busch; Vangerowstr. 3 Heidelberg ;  (06221) 28838; kita.luthergemeinde@ekihd.de; 7:30 a.m. a.m. – 2 p.m.; 3 years – until school enrolment;;
Bergheim; 69115; Glückskinderwelt Betreuungsservice GmbH; Bergheimer Str. 147 Heidelberg ;  (06221) 5860157; i.kolthof@glueckskinderwelt.de; 7 a.m. – 7 p.m. (On demand longer); 3 month – 6 years;;
Bergheim; 69115; Katholischer Kindergarten St. Albert; Bergheimer Str. 108 Heidelberg ;  (06221) 161464; kiga.albert@sepn.de; 7:30 a.m. a.m. – 5:30 (Fri 5) p.m.; 2,75 years – until school enrolment;;
Bergheim; 69115; Kindernest Heidelberg; Vangerowstr. 2 Heidelberg ;  (06221) 438296; info@kinderlandnet.de; 7 a.m. – 6 p.m.; 2 month – 3 years; Kinderlandnet gGmbH;
Bergheim; 69115; Städtische Kita Vangerowstraße; Vangerowstr. 11 Heidelberg ;  (06221) 5837220; kita‐vangerowstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 – 3 years;;
Bergheim; 69115; Steppkes Kinderbetreuung GbR; Vangerowstr. 33 Heidelberg ;  0177‐8387350 und 0163‐7282371; info@steppkes‐kinderbetreuung.de; 8 a.m. – 3 p.m.; 1 – 3 years;;
Boxberg; 69126; EMBL‐Kinderhaus (only for staff of EMBL); Meyerhofstr. 1 Heidelberg ;  (06221) 387308; martin.kirch@embl.de; 8:30 a.m. – 6 (Fri 5) p.m.; 3 month – until school enrolment;;
Boxberg; 69126; Evangelischer Kindergarten Boxberg; Ginsterweg 22 Heidelberg ;  (06221) 382774; kita.boxberggemeinde@ekihd.de; 7:15 a.m. – 4:15 p.m.; 3 month – until school enrolment;;
Boxberg; 69126; Katholischer Musikkindergarten St. Paul; Buchwaldweg 2 Heidelberg ;  (06221) 1379235; kiga.stpaul‐hd@t‐online.de; 7:30 a.m. a.m. – 4:30 p.m.; 2,75 years – until school enrolment;;
Boxberg; 69126; Städtische Kita Buchwaldweg; Buchwaldweg 30 Heidelberg ;  (06221) 382122; kita‐buchwaldweg@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – end of elementary school;;
Emmertsgrund; 69126; Evangelischer Kindergarten Emmertsgrund; Im Forum 3 Heidelberg ;  (06221) 382369; kita.emmertsgrund@ekihd.de; 7:30 a.m. a.m. – 4:30 p.m.; 3 years – until school enrolment;;
Emmertsgrund; 69126; Städtische Kita Emmertsgrundpassage 36‐38; Emmertsgrundpassage 36‐38 Heidelberg ;  (06221) 351084; kita‐emmertsgrundpassage36‐38@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Emmertsgrund; 69126; Städtische Kita Emmertsgrundpassage 43; Emmertsgrundpassage 43 Heidelberg ;  (06221) 381161; kita‐emmertsgrundpassage43@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Handschuhsheim; 69121; Evangelische Kita an der Friedenskirche; Kriegsstr. 20 Heidelberg ;  (06221) 409910; kita.friedensgemeinde‐ost@ekihd.de; 7:15 a.m. – 4:15 p.m.; 3 years – until school enrolment;;
Handschuhsheim; 69121; Evangelische Kita Tischbeinstraße; Tischbeinstr. 66 Heidelberg ;  (06221) 409128; kita.friedensgemeinde‐west@ekihd.de; 7:30 a.m. a.m. – 2 p.m.; 1 year – until school enrolment;;
Handschuhsheim; 69121; Katholischer Kindergarten St. Vitus; Pfarrgasse 5a Heidelberg ;  (06221) 473293; kiga.st.vitus@kath‐hd.de; 7:30 a.m. a.m. – 4:30 p.m.; 3 years – until school enrolment;;
Handschuhsheim; 69121; Kinderkrippe »Die KidZ«; Rottmannstr.12‐14 Heidelberg ;  (06221) 3279579; vorstand@rhein‐neckar‐kidz.de; 7:15 a.m. – 6 p.m.; 2 month – 3 years; Rhein‐Neckar‐KidZ e.V.;
Handschuhsheim; 69121; Kinderkrippe »Die Sternchen« gGmbH; Mühltalstr. 21 Heidelberg ;  (06221) 438780; info@diesternchen.de; 7:30 a.m. a.m. – 6 p.m.; 2 month – 3 years;;
Handschuhsheim; 69121; Kinderkrippe Dreikäsehoch GmbH; Zeppelinstr. 9 Heidelberg ;  (06221) 6565196; info@mehrgenerationenkrippe.de; 7 a.m. a.m. – 6 p.m.; 6 month – 3 years;;
Handschuhsheim; 69121; Kinderkrippe Purzelzwerg e.V.; Lindengasse 2 Heidelberg ;  (06221) 6551955; info@purzelzwerg‐dossenheim.de; 7:30 a.m. a.m. – 2:30 p.m.; 10 month – 3 years;;
Handschuhsheim; 69121; Kinderkrippe St. Bernhard; Handschuhsheimer Landstr. 77/1 Heidelberg; (06221) 8732455; info@kinderkrippe.caritas‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 1 – 3 years; Caritasverband Heidelberg e.V.;
Handschuhsheim; 69121; Paletti – Musisch‐Ästhetische Kleinkindbetreuung; Steubenstr. 54/1 Heidelberg ;  (06221) 452266; info@jugendkunstschule‐hd.de; 8 a.m. – 2 p.m.; 1 – 3 years; Jugendkunstschule Heidelberg‐Bergstrasse e.V.;
Handschuhsheim; 69121; Städtische Kita Furtwänglerstraße; Furtwänglerstr. 54 Heidelberg ;  (06221) 470585; kita‐furtwaenglerstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – end of elementary school;;
Handschuhsheim; 69121; Städtische Kita Handschuhsheimer Landstraße; Handschuhsheimer Landstr. 80 Heidelberg; (06221) 401282; kita‐handschuhsheimerlandstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Handschuhsheim; 69121; Waldkindergarten Heidelberg; Mühltalstr. 147 Heidelberg ;  (06221) 6739990; info@waldkinder‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 3 years – until school enrolment; Waldkinder Heidelberg e.V.;
Kirchheim; 69124; AWO‐Kita Sonnengarten; Schwetzinger Str. 27 Heidelberg ;  (06221) 7143535; kita‐sonnengarten@awo‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 2,75 – 6 years; Arbeiterwohlfahrt Heidelberg e.V.;
Kirchheim; 69124; AWO‐Kita U3 Badischer Hof; Schwetzinger Str. 27 Heidelberg ;  7140532; kita‐badischerhof@awo‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 1 – 3 years; Arbeiterwohlfahrt Heidelberg e.V.;
Kirchheim; 69124; Evangelischer Blumhardt Kindergarten; Hegenichstr. 22 Heidelberg ;  (06221) 785806; kita.blumhardtgemeinde@ekihd.de; 7:30 a.m. – 4:30 p.m.; 2,75 years – until school enrolment;;
Kirchheim; 69124; Evangelischer Kindergarten Arche; Glatzer Str. 31 Heidelberg ;  (06221) 781316; kita.wicherngemeinde@ekihd.de; Kindergarten: 7:30 a.m. – 4:30 p.m. / Toddlers: 7:30 a.m. – 2 p.m.; 3 month – until school enrolment;;
Kirchheim; 69124; Heilpädagogischer Hort und betreute Spielgruppe;  Im Mörgelgewann 11b Heidelberg ;  (06221) 600826; monika.buehler@caritas‐heidelberg.de; 8:30 – 11:30 a.m.; 1,5 – 3 years;(Curative pedagogy and supervised playgroup);
Kirchheim; 69124; Katholischer Kindergarten St. Georg; Albert‐Fritz‐Str. 35 Heidelberg ;  (06221) 712480; st.georg@st‐peter‐hd.de; 7 a.m. – 4 p.m.; 2,75 years – until school enrolment;;
Kirchheim; 69124; Kita KiKu Kinderland; Am Dorf 9 Heidelberg ;  (06221) 7145562; kinderland‐kirchheim@kinderzentren.de; 7 a.m. – 7 p.m.; 6 month – until school enrolment; Kinderzentren Kunterbunt gGmbH;
Kirchheim; 69124; Montessori Kinderhaus Hardtstraße; Hardtstr. 90 Heidelberg ;  (06221) 433890; oberlaender@montessori‐heidelberg.de; 7:15 a.m. – 4:15 p.m.; 2,75 years – until school enrolment;;
Kirchheim; 69124; Städtische Kita Adolf‐Engelhardt‐Straße; Adolf‐Engelhardt‐Str. 10 Heidelberg ;  (06221) 712126; kita‐adolf‐engelhardt‐strasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Kirchheim; 69124; Städtische Kita Hardtstraße; Hardtstr. 10/2 Heidelberg ;  (06221) 784146; kita‐hardtstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Kirchheim; 69124; Städtische Kita Hegenichstraße; Hegenichstr. 2/2 Heidelberg ;  (06221) 712178; kita‐hegenichstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – end of elementary school;;
Kirchheim; 69124; Städtische Kita Hüttenbühl; Im Hüttenbühl 8 Heidelberg ;  (06221) 785063; kita‐huettenbuehl@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Neuenheim; 69120; Evangelischer Jakobus‐Kindergarten; Kastellweg 18 Heidelberg ;  (06221) 401540; kita.jakobusgemeinde@ekihd.de; Kindergarten: 7:30 a.m. – 4:30 p.m. / Toddlers: 7:30 a.m. – 2 p.m.; 3 month – until school enrolment;;
Neuenheim; 69120; Evangelischer Kindergarten Johannesgemeinde; Lutherstr. 67 Heidelberg ;  (06221) 484481; kita.johannesgemeinde@ekihd.de; 7:30 a.m. – 5 p.m.; 3 years – until school enrolment;;
Neuenheim; 69120; Internationaler Kindergarten des DAI; Kuno‐Fischer‐Str. 2 Heidelberg ;  (6221) 607320; ies@dai‐heidelberg.de; 7:30 a.m. – 6 p.m. (Fr 5 p.m.); 3 years – until school enrolment; Englischsprachige Einrichtung;
Neuenheim; 69120; Katholischer Kindergarten St. Raphael; Gustav‐Kirchhoff‐Str. 1 Heidelberg ;  (06221) 409173; kiga‐raphael@kath‐hd.de; 7:30 a.m. – 3:30 p.m.; 3 years – until school enrolment;;
Neuenheim; 69120; Kindergarten INF 159 of the Student Service and Universität Heidelberg; Im Neuenheimer Feld 159 Heidelberg ;  (06221) 54‐6019, (06221) 54‐3923 ; kinderhaus@uni‐heidelberg.de; 7:30 a.m. – 6 p.m. (for parents working in shifts at the University clinics: 6:15 a.m. – 8:15 p.m.); 3 years – until school enrolment;;
Neuenheim; 69120; Kindergarten Neuenheim; Mönchhofstr. 52 ;  (06221) 480608; info@kiga‐neuenheim.de; 7:30 a.m. – 5 p.m. (Fri 4:30 p.m.); 3 years – until school enrolment;;
Neuenheim; 69120; Kinderkrippe INF 685 of the Student Service and Universität Heidelberg; Im Neuenheimer Feld 685 Heidelberg ;  (06221) 985252, (06221) 54‐3923; kinderhaus@uni‐heidelberg.de; 7:30 a.m. – 6 p.m.; 2 month – 3 years;;
Neuenheim; 69120; Kinderkrippe Kinderkiste e.V.; Ladenburger Str. 53 Heidelberg ;  (06221) 485399; leitung.ladenburger@kinderkiste‐hd.de; 8 a.m. – 1 p.m.; 1 – 3 years;;
Neuenheim; 69120; Kinderkrippe Kinderkiste e.V.; Ziegelhäuser Landstr. 5 Heidelberg ;  (06221) 455603; leitung.ziegelhaeuser@kinderkiste‐hd.de; 7:30 a.m. – 3:30 p.m.; 1 – 3 years;;
Neuenheim; 69120; Kita »Die Wichtel«; Im Neuenheimer Feld 583 Heidelberg ;  (06221) 588060; info@die‐wichtel.de; 7:30 a.m. – 6 p.m. (Fri 5 p.m.); 6 month – until school enrolment; Beruf und Kind e.V.;
Neuenheim; 69120; Kita Humboldtstraße 17 of the Student Service and Universität Heidelberg; Humboldtstr. 17 Heidelberg ;  (06221) 4299949, (06221) 54‐3923; kinderhaus@uni‐heidelberg.de; 7:30 a.m. – 6 p.m. (for parents working in shifts at the University clinics: 6:15 a.m. – 8:15 p.m.); 3 month – until school enrolment;;
Neuenheim; 69120; Metropolitan International School gGmbH; Mozartstr. 4 Heidelberg ;  (06221) 7267900; infohd@metroschools.de; 7:30 a.m. – 6 p.m.; 1 year – until school enrolment; Trilingual (English/German/Spanish);
Neuenheim; 69120; Städtische Kita Lutherstraße; Lutherstr. 45a Heidelberg ;  (06221) 410788; kita‐lutherstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – end of elementary school;;
Neuenheim; 69120; Waldorfkindergarten Heidelberg; Wielandtstr. 33 Heidelberg ;  (06221) 473331; waldorfkindergarten‐heidelberg@web.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Pfaffengrund; 69123; AWO‐Kita Kranichgarten; Kranichweg 53 Heidelberg ;  (06221) 7366731; kita‐kranichgarten@awo‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 1 – 3 years; Arbeiterwohlfahrt Heidelberg e.V.;
Pfaffengrund; 69123; AWO‐Kita Obere Rödt 33; Obere Rödt 33 Heidelberg ;  (6221) 776186; kita‐obereroedt@awo‐heidelberg.de; 6:50 a.m. – 4:45 (Fri 3:45) p.m.; 3 – 14 years; Arbeiterwohlfahrt Heidelberg e.V.;
Pfaffengrund; 69123; Evangelisches Kinderhaus PANAMA; Richard‐Drach‐Str. 2 Heidelberg ;  (6221) 776581; kita.emmaus‐gemeinde@ekihd.de; 7 a.m. – 4:15 p.m.; 3 month – 12 years;;
Pfaffengrund; 69123; Katholischer Kindergarten St. Marien; Schützenstr. 21 Heidelberg ;  (6221) 775595; kiga‐st.marien@se‐chr.de; 7:30 a.m. – 4 p.m.; 3 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Bewegungskrippe des TSG Rohrbach e.V.; Felix‐Wankel‐Str. 3 Heidelberg ;  (06221) 370344; bewegungskrippe@tsgrohrbach.de, kita@tsgrohrbach.de; 7 a.m. – 5:30 p.m.; 2 month – 3 years;;
Rohrbach / Hasenleiser; 69126; Bewegungskrippe des TSG Rohrbach e.V.; Fabrikstraße 28 Heidelberg ;  (06221) 370341; bewegungskrippe@tsgrohrbach.de und kita@tsgrohrbach.de; 7:30 a.m. – 3:30 p.m.; 2 month – 3 years;;
Rohrbach / Hasenleiser; 69126; Evangelische Kita Paula Heck; Am Heiligenhaus 14a Heidelberg ;  (06221) 393079; kita.rohrbach‐ost@ekihd.de; 7:15 a.m. – 4:15 p.m.; 3 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Evangelischer Kindergarten Baden‐Badener‐Straße; Baden‐Badener Str. 11 Heidelberg ;  (06221) 303201; kita.hasenleiser@ekihd.de; 7 a.m. – 4 p.m.; 3 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Evangelischer Kindergarten Lindenweg; Lindenweg 9 Heidelberg ;  (06221) 332420; kita.rohrbach‐west@ekihd.de; 7:15 a.m. – 2:15 p.m.; 2 month – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Freier Christlicher Kindergarten Heidelberg; Felix‐Wankel‐Str. 12 Heidelberg ;  (06221) 302118; fcs‐heidelberg@t‐online.de; 8 a.m. – 2:30 p.m.; 4 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Integrative Kindergärten Pusteblume der Lebenshilfe Heidelberg e.V. (Accepts disabled and non‐disabled children): 1. Kindergarten Pusteblume; Freiburger Straße 2a Heidelberg ;  (6221) 302325; pusteblume@lebenshilfe‐heidelberg.de und pusteblume‐hd@t‐online.de; school kindergarten: 8:30 a.m. – 3:15 (Fri 11:30) p.m.  regular kindergarten: 7:30 a.m. – 3:30 (Fri 2) p.m.; 2 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Kleine Pusteblume; Helaweg 30 Heidelberg ;  (06221) 3379225; kleine‐pusteblume@lebenshilfe‐heidelberg.de; Opening hours of the Toddlers group with disabled and non‐disabled children: 7:45 – 2:30 p.m. (Fri 2 p.m.) Opening hours of the Schoolkindergarten (pre‐school) and regular Kindergarten: see 1. Kindergarten Pusteblume; 1 – 3 years (Toddlers group with disabled and non‐disabled children), 2 years – until school enrolment (Kindergarten);;
Rohrbach / Hasenleiser; 69126; Katholischer Kindergarten St. Benedikt; Konstanzer Str. 47 Heidelberg ;  (06221) 303107; kiga‐st.benedikt@kath‐hd.de; 7:30 a.m. – 4:30 p.m.; 2,75 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Katholischer Kindergarten St. Theresia; Rathausstr. 30 Heidelberg ;  (06221) 315118; kiga‐st.theresia@kath‐hd.de; 7:30 a.m. – 4 (Fri 2) p.m.; 3 years – until school enrolment; (accepts disabled and non‐disabled children);
Rohrbach / Hasenleiser; 69126; Marie‐Bertha‐Coppius Schoolkindergarten (pre‐school) for speech disordered children; Heidelberger Str. 61 Heidelberg ;  (06221) 393610; schulkindergarten@mbc‐hd.schule.bwl.de; 8:30 a.m. – 2:15 (Fri 12:05) p.m.; 3 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Montessori‐Krippe Mehrgenerationenhaus; Heinrich‐Fuchs‐Str. 85 Heidelberg ;  (06221) 433890; oberlaender@montessori‐heidelberg.de; 8 a.m. – 4 p.m.; 1 – 3 years;;
Rohrbach / Hasenleiser; 69126; Montessori‐Krippe und Kinderhaus am Turm; Georg‐Mechtersheimer‐Str. 13 Heidelberg ;  (06221) 433890; oberlaender@montessori‐heidelberg.de; 7:30 a.m. – 4:30 p.m.; 1 year – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Rohrbacher Kinderstube e.V.; Karlsluststr. 6 Heidelberg ;  (06221) 5898974; info@rohrbacher‐kinderstube.de; 8 a.m. – 2 p.m.; 1 – 3 years;;
Rohrbach / Hasenleiser; 69126; Rohrbacher Kinderstube e.V.; Leimer Str. 2 Heidelberg ;  (06221) 374902; info@rohrbacher‐kinderstube.de; 8 a.m. – 2 p.m.; 1 – 3 years;;
Rohrbach / Hasenleiser; 69126; Sportkindergarten des TSG Rohrbach e.V.; Erlenweg 26b Heidelberg ;  (06221) 370342; sportkindergarten@tsgrohrbach.de und kita@tsgrohrbach.de; 7:30 a.m. – 5 p.m.; 3 years – until school enrolment;;
Rohrbach / Hasenleiser; 69126; Städtische Kita Breisacher Weg; Breisacher Weg 2 Heidelberg ;  (06221) 372967; kita‐breisacherweg@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Schlierbach; 69118; CHAMPINI Sport‐ und Bewegungskita gGmbH; Am Grünen Hag 48 Heidelberg ;  (06221) 8963991; heidelberg‐schlierbach@champini.de; 7:30 a.m. – 5 p.m.; 10 month – until school enrolment;;
Schlierbach; 69118; Evangelischer Kindergarten der Berggemeinde; Am Gutleuthofhang 19 Heidelberg ;  (06221) 802509; kita.berggemeinde@ekihd.de; 7:30 a.m. – 2 p.m.; 3 years – until school enrolment;;
Schlierbach; 69118; Städtische Kita Jägerpfad; Jägerpfad 11 Heidelberg ;  (06221) 802010; kita‐jaegerpfad@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Südstadt; 69126; Die „kleine“ Elisabeth (Branch of the catholic Kindergarten St. Elisabeth); Im Bosseldorn 12 Heidelberg ;  (06221) 7283290; kiga.bosseldorn@sepn.de; 7:30 a.m. – 4:30 p.m.; 3 years – until school enrolment;;
Südstadt; 69126; Evangelischer Kindergarten der Markusgemeinde; Rheinstr. 29 Heidelberg ;  (06221) 336045; kita.markusgemeinde@ekihd.de; 7:30 a.m. – 2 p.m.; 3 years – until school enrolment;;
Südstadt; 69126; Katholischer Kindergarten St. Elisabeth; Kirschgartenstr. 35 Heidelberg ;  (06221) 3379696; kiga.elisabeth@sepn.de; 7:30 a.m. – 4:30 p.m.; 1 year – until school enrolment;;
Südstadt; 69126; Kinderkrippe Bullerbü; Spitzwegstr. 2 Heidelberg ;  (06221) 337888; info@generationsbruecke.de; 7:45 a.m. – 4 p.m.; 1 – 3 years; Generationsbrücke e.V.;
Weststadt; 69115; Evangelischer Fröbel‐Kindergarten der Christusgemeinde; Zähringerstr. 24 Heidelberg ;  (06221) 20595; kita.christusgemeinde@ekihd.de; 7:30 a.m. – 2 p.m.; 2 years – until school enrolment;;
Weststadt; 69115; Evangelischer Kindergarten der Kapellengemeinde; Kaiserstr. 64 Heidelberg ;  (06221) 20451; kiga@stadtmission‐hd.de; 7:30 a.m. – 2 p.m.; 3 years – until school enrolment;;
Weststadt; 69115; Katholische Kita St. Hildegard; Hildastr. 6 Heidelberg ;  (06221) 160165; kiga.hildegard@sepn.de; 7 a.m. ‐ 5 p.m.; 2,75 years – end of elementary school;;
Weststadt; 69115; Kindergarten First Steps e.V.; Hebelstr. 6 Heidelberg ;  (6221) 8904243; first.steps@web.de; 7:30 a.m. – 5 p.m.; 3 years – until school enrolment; Bilingual (German/English);
Weststadt; 69115; Kindergarten Römerstraße e.V.; Römerstr. 23 ;  (06221) 600292; kindergarten@roemerstrasse.org; 8 a.m. – 3 p.m.; 3 years – until school enrolment;;
Weststadt; 69115; Kinderkrippe »Die Wühlmäuse« gGmbH; Lenaustr. 12 Heidelberg ;  (6221) 6533029 und 0172‐6577144; stephaniekonrad@gmx.de; 8 a.m. – 4 p.m.; 3 month – 3 years;;
Weststadt; 69115; Kinderkrippe First Steps e.V.; Rohrbacher Str. 88/90 Heidelberg ;  (06221) 6512767; first.steps@web.de; 7:30 a.m. – 2 p.m.; 1 – 3 years; Bilingual (German/English);
Weststadt; 69115; Kinderladen Heuhüpfer e.V.; Kaiserstr. 4 Heidelberg ;  (06221) 4531849; weststadt@heuhuepfer.net; 7:30 a.m. – 4:30 p.m.; 1 – 3 years;;
Weststadt; 69115; KiWest – Kinderbetreuung Weststadt; Kaiserstr. 49 Heidelberg ;  (06221) 6514344; birte@kiwe.st; 7:30 a.m. – 4:45 p.m.; 6 weeks – 3 years;;
Weststadt; 69115; Spielgruppe »Die Wühlmäuse« gGmbH; Rohrbacherstr. 40 Heidelberg ;  (06221) 6533029 und 0172‐6577144; stephaniekonrad@gmx.de; 8 a.m. – 1 p.m.; 3 month – 3 years;;
Weststadt; 69115; Städtische Kita Blumenstraße; Blumenstr. 24 Heidelberg ;  (06221) 26498; kita‐blumenstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Weststadt; 69115; Städtische Kita Gaisbergstraße; Gaisbergstr. 81 Heidelberg ;  (06221) 181588; kita‐gaisbergstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – end of elementary school;;
Weststadt; 69115; Städtische Kita Philipp‐Reis‐Straße; Philipp‐Reis‐Str. 60 Heidelberg ;  (06221) 600888; kita‐philipp‐reis‐strasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Weststadt; 69115; Kita an der Freien Waldorfschule Heidelberg Städtische Kita Römerstraße; Römerstraße 87 Heidelberg ;  (06221) 4320586; kita‐roemerstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Wieblingen; 69123; Evangelischer Kindergarten Kunterbunt; Viernheimer Weg 4 Heidelberg ;  (06221) 836134; kita.kreuzgemeinde‐nord@ekihd.de; 7:30 a.m. – 4:30 p.m.; 2 years – until school enrolment; (Accepts disabled and non‐disabled children);
Wieblingen; 69123; Evangelisches Haus für Kinder; Mannheimer Straße 225 Heidelberg ;  (06221) 833531; kita.kreuzgemeinde‐mitte@ekihd.de; Kindergarten: 7 a.m. – 4:30 p.m. / Nursery: 8 a.m. – 2:30 p.m.; 1 year – until school enrolment;;
Wieblingen; 69123; Französische Vor‐ und Grundschule Pierre et Marie Curie; Wieblinger Weg 9 Heidelberg ;  (06221) 840983; direction@ecole.de; 7:30 a.m. – 6 p.m.; 2 years – end of elementary school; Bilingual (French/German);
Wieblingen; 69123; Katholischer Kindergarten St. Bartholomäus; Wallstr. 27/2 Heidelberg ;  (06221) 836122; kiga‐bartholomaeus@kath‐hd.de; 7 a.m. – 4:30 p.m.; 3 years – until school enrolment;;
Wieblingen; 69123; Kindergarten der TfK GmbH Heidelberg; Mannheimer Str. 77 Heidelberg ;  (06221) 840057; kita@tfk‐heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Wieblingen; 69123; Kinderkrippe der TfK GmbH Heidelberg; Ludwig‐Guttmann‐Str. 8 Heidelberg ;  (06221) 7379570; krippe@tfk‐heidelberg.de; 7 a.m. – 5 p.m.; 2 month – 3 years;;
Wieblingen; 69123; Kinderkrippe Mary Poppins; Wieblinger Weg 17 Heidelberg ;  (06221) 7267248; heidelberg@kinderzentren.de; 7 a.m. – 5 p.m. (On demand to 6 p.m.); 6 month – 3 years; Kinderzentren Kunterbunt gGmbH;
Wieblingen; 69123; Kinderladen Heuhüpfer e.V; Klostergasse 6 Heidelberg ;  (06221) 7963308; wieblingen@heuhuepfer.net; 7:30 a.m. – 4 p.m.; 1 – 3 years;;
